city,total,website_pct,primary_industry_pct,description_pct,founded_year_pct,funding_usd_pct,revenue_usd_pct,funding_stage_pct,team_size_min_pct,founders_list_pct,investors_list_pct
London,231,99.6,100.0,100.0,94.4,97.4,17.3,93.9,17.7,31.6,45.5
Singapore,225,98.2,100.0,100.0,96.9,96.4,7.1,95.6,19.1,31.1,4.4
Berlin,221,99.5,100.0,99.5,96.8,92.3,14.0,85.1,27.1,29.4,48.0
Silicon Valley,218,99.5,100.0,100.0,92.7,100.0,12.4,97.7,29.4,43.1,9.2
Madrid,215,99.5,100.0,100.0,93.5,88.4,13.0,90.7,17.2,19.1,46.0
Sao Paulo,214,98.1,100.0,99.5,98.1,92.5,13.6,93.5,30.4,25.2,48.1
Stockholm,203,98.5,100.0,100.0,98.5,87.7,14.3,89.2,26.6,27.6,52.2
Zurich,166,97.6,100.0,100.0,93.4,92.8,10.8,86.1,18.1,28.3,56.6
Los Angeles,159,98.7,100.0,100.0,92.5,98.7,21.4,98.1,27.0,44.7,6.3
Tokyo,155,98.1,100.0,98.7,89.7,81.3,5.2,78.1,14.8,23.2,0.0
Boston,155,98.7,100.0,100.0,95.5,100.0,26.5,99.4,28.4,43.2,6.5
Paris,152,100.0,100.0,100.0,96.1,98.7,12.5,92.1,24.3,30.9,6.6
Shanghai,143,97.2,100.0,100.0,94.4,100.0,11.9,90.2,21.0,29.4,7.0
Hangzhou,102,95.1,100.0,100.0,94.1,89.2,14.7,89.2,22.5,23.5,8.8
Tel Aviv,98,100.0,100.0,95.9,94.9,90.8,11.2,65.3,21.4,6.1,0.0
Shenzhen,96,99.0,100.0,100.0,88.5,90.6,6.2,88.5,28.1,40.6,10.4
Guangzhou,76,96.1,100.0,98.7,92.1,94.7,7.9,88.2,21.1,17.1,11.8
Seoul,65,95.4,100.0,100.0,92.3,92.3,4.6,84.6,18.5,60.0,0.0
Beijing,64,96.9,100.0,100.0,82.8,93.8,18.8,79.7,15.6,54.7,0.0
NYC,64,98.4,100.0,100.0,92.2,100.0,10.9,93.8,25.0,54.7,0.0
