startup_id,city
S0638,Tel Aviv
S0638,Tokyo
S0101,Beijing
S0101,London
S0101,Berlin
S0101,Tokyo
S0101,Seoul
S0101,Singapore
S0605,Beijing
S0605,Tokyo
S0605,Seoul
S0114,Beijing
S0114,Shanghai
S0124,Beijing
S0124,Tokyo
S0131,Beijing
S0131,Shanghai
S0137,Beijing
S0137,Guangzhou
S0137,Shanghai
S0569,Beijing
S0569,Shanghai
S0142,Beijing
S0142,Hangzhou
S1485,Beijing
S1485,Guangzhou
S1485,Sao Paulo
S2277,London
S2277,Seoul
S0251,Singapore
S0251,Shenzhen
S0312,Singapore
S0312,Tokyo
S1928,Singapore
S1928,Silicon Valley
S1928,Shanghai
S2223,Singapore
S2223,London
S0334,Tokyo
S0334,Singapore
S0337,London
S0337,Singapore
S0354,Singapore
S0354,Zurich
S0363,Singapore
S0363,Tokyo
S0545,Singapore
S0545,Shanghai
S1320,Singapore
S1320,Sao Paulo
S1447,Singapore
S1447,Sao Paulo
S1447,Zurich
S0592,Hangzhou
S0592,Shanghai
S2824,Stockholm
S2824,Shanghai
S2238,London
S2238,Shanghai
S0554,Shanghai
S0554,NYC
S0562,Hangzhou
S0562,Shanghai
S2486,Los Angeles
S2486,Shanghai
S0598,Tokyo
S0598,London
S0602,Tokyo
S0602,Paris
S0510,Tokyo
S0510,Singapore
S0510,Shanghai
S0678,Tokyo
S0678,Shenzhen
S2843,Tokyo
S2843,Stockholm
S2250,London
S2250,Paris
S2337,Boston
S2337,Paris
S1604,Paris
S1604,Madrid
S0954,Berlin
S0954,Madrid
S0954,Zurich
S1395,Sao Paulo
S1395,Zurich
S1022,Zurich
S1022,Silicon Valley
S2691,Hangzhou
S2691,Zurich
S1088,Boston
S1088,Berlin
S1168,Berlin
S1168,Silicon Valley
S2230,London
S2230,Berlin
S1191,Los Angeles
S1191,Berlin
S1291,Berlin
S1291,Sao Paulo
S2251,London
S2251,Sao Paulo
S1820,London
S1820,Silicon Valley
S0222,Seoul
S0222,Silicon Valley
S1892,Silicon Valley
S1892,NYC
S1933,Stockholm
S1933,Silicon Valley
S2217,London
S2217,NYC
S2588,Los Angeles
S2588,NYC
S2590,Los Angeles
S2590,NYC
S2065,London
S2065,NYC
S2086,London
S2086,NYC
S2883,London
S2883,Stockholm
S2442,London
S2442,Boston
S2286,London
S2286,Boston
S2313,London
S2313,Boston
S2596,Los Angeles
S2596,Boston
S2453,Los Angeles
S2453,Boston
S2631,Los Angeles
S2631,Singapore
S2853,Guangzhou
S2853,Stockholm
